date,auction_name,eua_price_eur_t
2014-11-06 00:00:00,EU,6.61
2014-11-07 00:00:00,DE,6.6
2014-11-10 00:00:00,EU,6.7
2014-11-11 00:00:00,EU,6.68
2014-11-13 00:00:00,EU,6.78
2014-11-14 00:00:00,DE,6.7
2014-11-17 00:00:00,EU,6.64
2014-11-18 00:00:00,EU,6.91
2014-11-20 00:00:00,EU,6.93
2014-11-21 00:00:00,DE,6.88
2014-11-24 00:00:00,EU,7.02
2014-11-25 00:00:00,EU,7.05
2014-11-26 00:00:00,EU,6.9
2014-11-27 00:00:00,EU,7.09
2014-11-28 00:00:00,DE,7.02
2014-12-01 00:00:00,EU,6.95
2014-12-02 00:00:00,EU,7.0
2014-12-04 00:00:00,EU,6.77
2014-12-05 00:00:00,DE,6.66
2014-12-08 00:00:00,EU,6.58
2014-12-09 00:00:00,EU,6.6
2014-12-11 00:00:00,EU,6.65
2014-12-12 00:00:00,DE,6.64
2014-12-15 00:00:00,EU,6.6
2014-12-16 00:00:00,EU,6.93
2015-01-08 00:00:00,EU,6.7
2015-01-09 00:00:00,DE,6.71
2015-01-12 00:00:00,EU,6.59
2015-01-13 00:00:00,EU,6.77
2015-01-14 00:00:00,EU,6.99
2015-01-15 00:00:00,EU,7.1
2015-01-16 00:00:00,DE,7.05
2015-01-19 00:00:00,EU,7.06
2015-01-20 00:00:00,EU,7.25
2015-01-22 00:00:00,EU,7.02
2015-01-23 00:00:00,DE,6.81
2015-01-26 00:00:00,EU,6.76
2015-01-27 00:00:00,EU,6.82
2015-01-28 00:00:00,EU,6.56
2015-01-28 00:00:00,PL,6.76
2015-01-29 00:00:00,EU,6.92
2015-01-30 00:00:00,DE,6.96
2015-02-02 00:00:00,EU,7.06
2015-02-03 00:00:00,EU,7.06
2015-02-05 00:00:00,EU,6.87
2015-02-06 00:00:00,DE,6.92
2015-02-09 00:00:00,EU,6.86
2015-02-10 00:00:00,EU,6.88
2015-02-11 00:00:00,EU,6.87
2015-02-12 00:00:00,EU,7.29
2015-02-13 00:00:00,DE,7.35
2015-02-16 00:00:00,EU,7.66
2015-02-17 00:00:00,EU,7.62
