feature,shap_value,feature_value
exog_2_D0_h08,0.7529232809674566,1502.751
exog_2_D0_h09,1.4408609823013934,2437.97525
exog_2_D0_h10,0.6993535195358277,3494.993
exog_2_D0_h11,0.3160971242270694,4264.5962500000005
exog_2_D0_h12,0.20980898170151943,4607.7585
exog_2_D0_h13,0.7675423063277653,4464.81225
exog_2_D0_h14,0.2557559645197332,3837.59175
exog_2_D0_h15,0.40298158289505376,2802.282
exog_2_D0_h16,0.33096562171129384,1856.58625
exog_2_D0_h17,0.5910952244729584,1780.0990000000002
exog_2_D0_h18,0.3175099415773169,1983.2825
exog_2_D0_h19,0.27957449523576366,2138.237
exog_2_D0_h20,0.2376038790352298,2233.793
exog_2_D0_h21,0.1329251918298043,2361.99625
exog_2_D0_h22,0.17564396048418798,2477.62075
exog_2_D0_h23,0.17286363986475412,2577.2085
dow_0,-0.0004332003091948328,0.0
dow_1,0.0,1.0
dow_2,-1.5399092298243124e-05,0.0
dow_3,-0.0005516992136105394,0.0
dow_4,0.01815326569832085,0.0
dow_5,0.003634148874632002,0.0
dow_6,0.006782516794484193,0.0
